Martin_Short;Andrea_Martin;Joe_Flaherty
Robert_Duvall;Brock_Peters;William_Windom
Corbin_Bernsen;Dulé_Hill;Timothy_Omundson
Minnie_Driver;Jada_Pinkett_Smith;Billy_Crudup
Quentin_Tarantino;Steve_Buscemi;Chris_Penn
Kevin_Spacey;Peter_Gallagher;Ara_Celi
Shahab_Hosseini;Leila_Hatami;Peyman_Moaadi
Francis_Capra;Jason_Dohring;Enrico_Colantoni
Harrison_Ford;Ian_McDiarmid;Kenny_Baker
Michael_Biehn;Carrie_Henn;Jenette_Goldstein
James_Coburn;Donald_Pleasence;Gordon_Jackson
Tom_Hanks;John_Ratzenberger;Jim_Varney
Clint_Eastwood;Morgan_Freeman;Frances_Fisher
Pierre_Perrier;Clotilde_Hesme;Céline_Sallette
Brigitte_Helm;Gustav_Fröhlich;Rudolf_Klein-Rogge
Justin_Fletcher;John_Sparkes;Kate_Harbour
Tom_Hanks;John_Ratzenberger;Don_Rickles
Dominic_Cooper;Joseph_Gilgun;Ruth_Negga
Adam_Arkin;Brent_Sexton;Damian_Lewis
John_Ratzenberger;Delroy_Lindo;Jess_Harnell
Robert_De_Niro;Albert_Brooks;Peter_Boyle
Eric_Idle;Michael_Palin;Terry_Jones
Matt_Damon;George_W._Bush;Barney_Frank
Rita_Moreno;Debbie_Reynolds;Cyd_Charisse
Eileen_Brennan;Robert_Shaw;Ray_Walston
Campbell_Scott;Dick_Cheney;Donald_Rumsfeld
Jeffrey_Jones;F._Murray_Abraham;Tom_Hulce
Thomas_Kretschmann;Bruno_Ganz;Alexandra_Maria_Lara
Joan_Allen;Jacob_Tremblay;Cas_Anvar
Robin_Williams;Matt_Damon;Minnie_Driver
Keir_Dullea;Gary_Lockwood;Glenn_Beck
John_Gilbert;Renée_Adorée;Claire_Adams
Michael_Fassbender;Brad_Pitt;Christoph_Waltz
Nehemiah_Persoff;Joe_E._Brown;George_Raft
Noam_Chomsky;Pat_Buchanan;Bill_Baird
Al_Pacino;F._Murray_Abraham;Mary_Elizabeth_Mastrantonio
Harrison_Ford;Julian_Glover;Alison_Doody
Fred_MacMurray;Ray_Walston;David_White
Mary_Kate_Wiles;Jennifer_Landa;Felix_Avitia
Jason_Statham;Brad_Pitt;Jason_Flemyng
William_Gates;Arthur_Agee;Isiah_Thomas
Thomas_Bo_Larsen;Alexandra_Rapaport;Hana_Shuan
Amy_Poehler;Mindy_Kaling;Phyllis_Smith
Christian_Bale;Liam_Neeson;Morgan_Freeman
Robert_De_Niro;Cathy_Moriarty;Frank_Vincent
Kevin_Spacey;Matt_McCoy;Paul_Guilfoyle
Noam_Chomsky;Seth_Ackerman;Arik_Ascherman
Maximilian_Schell;Montgomery_Clift;Spencer_Tracy
Kate_Winslet;Kirsten_Dunst;Tom_Wilkinson
Alan_Rickman;Bruce_Willis;Reginald_VelJohnson
Marlon_Brando;Karl_Malden;Rod_Steiger
Laurence_Olivier;Joan_Fontaine;George_Sanders
Jason_Statham;Jason_Flemyng;Dexter_Fletcher
Anthony_Hopkins;Anne_Bancroft;Dexter_Fletcher
Leonardo_DiCaprio;Matthew_McConaughey;Jon_Favreau
Ringo_Starr;Levon_Helm;Bob_Dylan
Gerard_Butler;America_Ferrera;Craig_Ferguson
Ólafur_Darri_Ólafsson;Ingvar_Eggert_Sigurðsson;Björn_Hlynur_Haraldsson
Ricardo_Darín;Soledad_Villamil;Guillermo_Francella
Robert_Downey_Jr.;Scarlett_Johansson;Chris_Evans
Vidya_Balan;Sanjay_Dutt;Jimmy_Shergill
Clint_Eastwood;Dreama_Walker;Ahney_Her
Liv_Ullmann;Ingrid_Thulin;Erland_Josephson
Robert_De_Niro;Meryl_Streep;John_Savage
Claudette_Colbert;Alan_Hale;Walter_Connolly
William_Holden;Sessue_Hayakawa;Jack_Hawkins
Brendon_Small;Ron_Lynch;Melissa_Bardin_Galsky
Adam_Goldberg;Austin_Pendleton;Judd_Hirsch
Anwar_Congo;Herman_Koto;Syamsul_Arifin
Kelly_Macdonald;Shirley_Henderson;Ewen_Bremner
Claude_Rains;Jean_Arthur;Thomas_Mitchell
Brighton_Sharbino;Jake_Busey;Tim_Guinee
Christian_Bale;Blythe_Danner;Jean_Simmons
Ivana_Baquero;Maribel_Verdú;Sergi_López
Bob_Proctor;Jack_Canfield;Eric_Worre
Jim_Broadbent;Tuppence_Middleton;Lily_James
Hattie_McDaniel;George_Reeves;Thomas_Mitchell
;;
Kristen_Stewart;William_Hurt;Hal_Holbrook
Romola_Garai;Blake_Ritson;Rupert_Evans
Robert_De_Niro;Don_Rickles;Kevin_Pollak
Philip_Seymour_Hoffman;Jeff_Bridges;Steve_Buscemi
Alexander_Gould;Stephen_Root;Brad_Garrett
Sarah_Michelle_Gellar;Alyson_Hannigan;Emma_Caulfield
Wilford_Brimley;Richard_Masur;David_Clennon
Natalie_Portman;Eddie_Marsan;Rupert_Graves
Tom_Hardy;Frank_Grillo;Kevin_Dunn
Harrison_Ford;Sean_Young;M._Emmet_Walsh
Mark_Chinnery;Shin'ya_Tsukamoto;Atsuko_Maeda
Lubna_Azabal;Mélissa_Désormeaux-Poulin;Ahmad_Massad
Chris_Hemsworth;Olivia_Wilde;Alexandra_Maria_Lara
Don_Cheadle;Sophie_Okonedo;Hakeem_Kae-Kazim
Yaphet_Kotto;Gloria_Foster;Ivan_Dixon
Hanno_Pöschl;Hans_Weingartner;Dominik_Castell
Michael_Biehn;Brian_Thompson;Paul_Winfield
Jim_Meskimen;Paul_F._Tompkins;Kevin_Breznahan
Matt_Damon;Donald_Glover;Benedict_Wong
Johnny_Depp;Tom_Berenger;Kevin_Dillon
Min-sik_Choi;Bin_Won;Dong-gun_Jang
David_Carradine;Vivica_A._Fox;Chiaki_Kuriyama
Steve_Buscemi;John_Ratzenberger;James_Coburn
Ryan_O'Neal;Steven_Berkoff;Hardy_Krüger
Wagner_Moura;Fernanda_Machado;André_Ramiro
Katharine_Ross;Ted_Cassidy;Kenneth_Mars
Myrna_Loy;Teresa_Wright;Dana_Andrews
Chris_Hemsworth;Robert_Downey_Jr.;Scarlett_Johansson
Sylvester_Stallone;Burgess_Meredith;Carl_Weathers
Kelly_Macdonald;Stephen_Root;Barry_Corbin
Ryan_Reynolds;Ed_Skrein;Stefan_Kapicic
Margaret_Hamilton;Terry;Billie_Burke
Hanne_Aagesen;Sylvia_Eckhausen;Ejner_Federspiel
Johnny_Depp;Orlando_Bloom;Jack_Davenport
Robin_Wright;Carol_Kane;André_the_Giant
Bill_Murray;Chris_Elliott;Willie_Garson
Bill_Murray;Tom_Wilkinson;F._Murray_Abraham
Stephen_Colbert;Amy_Sedaris;Maria_Thayer
Tom_Hardy;Charlize_Theron;Zoë_Kravitz
Hugh_Jackman;Jake_Gyllenhaal;Dylan_Minnette
Jason_Flemyng;James_Nesbitt;Frances_O'Connor
Jean-Louis_Trintignant;Stefania_Sandrelli;Dominique_Sanda
Clint_Eastwood;Morgan_Freeman;Mike_Colter
Robert_Duvall;Faye_Dunaway;William_Holden
Donatas_Banionis;Anatoliy_Solonitsyn;Natalya_Bondarchuk
John_F._Kennedy;Buzz_Aldrin;Neil_Armstrong
Wayne_Knight;Ariana_Richards;Bob_Peck
Gary_Cooper;Lloyd_Bridges;Lon_Chaney_Jr.
Quvenzhané_Wallis;Scoot_McNairy;Taran_Killam
Bradley_Cooper;Vin_Diesel;Djimon_Hounsou
Patrick_Fugit;Sela_Ward;Emily_Ratajkowski
Peter_Dinklage;Lauren_Cohan;Erick_Avari
Natascha_McElhone;Noah_Emmerich;Peter_Krause
Marshall_Bell;Frances_Lee_McCain;Casey_Siemaszko
Khalid_Abdalla;Ahmed_Hassan;Aida_Elkashef
Cary-Hiroyuki_Tagawa;Sarah_Roemer;Joan_Allen
Benedict_Cumberbatch;Rory_Kinnear;Allen_Leech
Zack_Ward;Darren_McGavin;Scott_Schwartz
Burl_Ives;Judith_Anderson;Jack_Carson
Lee_Marvin;Woody_Strode;Vera_Miles
Steven_Van_Zandt;Trond_Fausa;Tommy_Karlsen
Woody_Allen;Carol_Kane;Shelley_Duvall
Dorian_Missick;Daniella_Alonso;Ellen_Barkin
Billy_Crudup;Jamey_Sheridan;Brian_d'Arcy_James
Belén_Rueda;Lola_Dueñas;Tamar_Novas
Bruce_Willis;Haley_Joel_Osment;Olivia_Williams
Joe_Cocker;Jimi_Hendrix;Joan_Baez
Leonardo_DiCaprio;Tom_Hardy;Lukas_Haas
Jake_Gyllenhaal;Mary_McDonnell;James_Duval
Sally_Kirkland;Alex_Emanuel;Elaine_Bromka
Matt_Damon;Edgar_Ramírez;Albert_Finney
Rosario_Dawson;Powers_Boothe;Jason_Douglas
Mitsuo_Iwata;Takeshi_Kusao;Tesshô_Genda
Leonardo_DiCaprio;Joseph_Sikora;Nellie_Sciutto
Adriana_Barraza;Jorge_Salinas;Goya_Toledo
Candice_Bergen;Amrish_Puri;John_Gielgud
Michael_Nyqvist;David_Dencik;Lena_Endre
Emma_Stone;Bryce_Dallas_Howard;Mike_Vogel
Nicholas_Aaron;Brendan_Mackey;Joe_Simpson
Ulrich_Thomsen;Paprika_Steen;Trine_Dyrholm
